squadra;anno;valore;campionato;VittorieCampionato;coppeItaliane;coppeEuropee
Atalanta;1907;368000000;a;0;1;0
Ascoli;1898;18000000;b;0;0;0
Benevento;1929;45000000;a;0;0;0
Bologna;1909;140000000;a;7;2;1
Brescia;1911;46000000;b;0;0;0
Cagliari;1920;169000000;a;1;0;0
Chievo;1928;15000000;b;0;0;0
Cittadella;1973;9000000;b;0;0;0
Cosenza;1913;9000000;b;0;0;0
Cremonese;1903;12000000;b;0;0;0
Crotone;1922;40000000;a;0;0;0
Empoli;1920;31000000;b;0;0;0
Fiorentina;1926;222000000;a;2;6;1
Frosinone;1911;18000000;b;0;0;0
Genoa;1893;99000000;a;9;1;0
Inter;1908;614000000;a;18;7;8
Juventus;1897;692000000;a;36;13;11
Lazio;1900;357000000;a;2;6;2
Lecce;1908;29000000;b;0;0;0
Milan;1899;487000000;a;18;5;17
Monza;1912;43000000;b;0;0;0
Napoli;1926;587000000;a;2;6;1
Parma;1913;114000000;a;0;3;4
Pescara;1936;15000000;b;0;0;0
Pisa;1909;12000000;b;0;0;0
Pordenone;1920;10000000;b;0;0;0
Reggiana;1919;7000000;b;0;0;0
Reggina;1914;12000000;b;0;0;0
Roma;1927;356000000;a;3;9;0
Sampdoria;1946;99000000;a;1;4;1
Salernitana;1919;16000000;b;0;0;0
Sassuolo;1920;217000000;a;0;0;0
Spal;1906;46000000;b;0;0;0
Spezia;1906;55000000;a;0;0;0
Torino;1906;148000000;a;7;5;0
Udinese;1896;153000000;a;0;0;1
Venezia;1907;11000000;b;0;1;0
Verona;1903;135000000;a;1;0;0
Vicenza;1902;10000000;b;0;1;0
virtusEntella;1914;11000000;b;0;0;0
